"day","mnth","dd","holiday"
2021-08-06,8,6,0
2021-08-07,8,7,0
2021-08-08,8,8,0
2021-08-09,8,9,0
2021-08-10,8,10,0
2021-08-11,8,11,0
2021-08-12,8,12,0
2021-08-13,8,13,0
2021-08-14,8,14,0
2021-08-15,8,15,0
2021-08-16,8,16,0
2021-08-17,8,17,0
2021-08-18,8,18,0
2021-08-19,8,19,0
2021-08-20,8,20,0
2021-08-21,8,21,0
2021-08-22,8,22,0
2021-08-23,8,23,0
2021-08-24,8,24,0
2021-08-25,8,25,0
2021-08-26,8,26,0
2021-08-27,8,27,0
2021-08-28,8,28,0
2021-08-29,8,29,0
2021-08-30,8,30,0
2021-08-31,8,31,0
2021-09-01,9,1,0
2021-09-02,9,2,0
2021-09-03,9,3,0
2021-09-04,9,4,0
2021-09-05,9,5,0
2021-09-06,9,6,0
2021-09-07,9,7,0
2021-09-08,9,8,0
2021-09-09,9,9,0
2021-09-10,9,10,0
2021-09-11,9,11,0
2021-09-12,9,12,0
2021-09-13,9,13,0
2021-09-14,9,14,0
2021-09-15,9,15,0
2021-09-16,9,16,0
2021-09-17,9,17,0
2021-09-18,9,18,0
2021-09-19,9,19,0
2021-09-20,9,20,0
2021-09-21,9,21,0
2021-09-22,9,22,0
2021-09-23,9,23,0
2021-09-24,9,24,0
2021-09-25,9,25,0
2021-09-26,9,26,0
2021-09-27,9,27,0
2021-09-28,9,28,0
2021-09-29,9,29,0
2021-09-30,9,30,0
2021-10-01,10,1,0
2021-10-02,10,2,0
2021-10-03,10,3,0
2021-10-04,10,4,0
2021-10-05,10,5,0
2021-10-06,10,6,0
2021-10-07,10,7,0
2021-10-08,10,8,0
2021-10-09,10,9,0
2021-10-10,10,10,0
2021-10-11,10,11,0
2021-10-12,10,12,0
2021-10-13,10,13,0
2021-10-14,10,14,0
2021-10-15,10,15,0
2021-10-16,10,16,0
2021-10-17,10,17,0
2021-10-18,10,18,0
2021-10-19,10,19,0
2021-10-20,10,20,0
2021-10-21,10,21,0
2021-10-22,10,22,0
2021-10-23,10,23,0
2021-10-24,10,24,0
2021-10-25,10,25,0
2021-10-26,10,26,0
2021-10-27,10,27,0
2021-10-28,10,28,0
2021-10-29,10,29,0
2021-10-30,10,30,0
2021-10-31,10,31,0
2021-11-01,11,1,0
2021-11-02,11,2,0
2021-11-03,11,3,0
2021-11-04,11,4,1
2021-11-05,11,5,0
2021-11-06,11,6,0
2021-11-07,11,7,0
2021-11-08,11,8,0
2021-11-09,11,9,0
2021-11-10,11,10,0
2021-11-11,11,11,0
2021-11-12,11,12,0
2021-11-13,11,13,0
2021-11-14,11,14,0
2021-11-15,11,15,0
2021-11-16,11,16,0
2021-11-17,11,17,0
2021-11-18,11,18,0
2021-11-19,11,19,0
2021-11-20,11,20,0
2021-11-21,11,21,0
2021-11-22,11,22,0
2021-11-23,11,23,0
2021-11-24,11,24,0
2021-11-25,11,25,0
2021-11-26,11,26,0
2021-11-27,11,27,0
2021-11-28,11,28,0
2021-11-29,11,29,0
2021-11-30,11,30,0
2021-12-01,12,1,0
2021-12-02,12,2,0
2021-12-03,12,3,0
2021-12-04,12,4,0
2021-12-05,12,5,0
2021-12-06,12,6,0
